number;dtscore;dtscore_aux;dtscoreco;dtscoreco_aux;edad;IBC;labor;calificacion;ingresos;pendeuda;co;credito;yeardde;tinteres;ncuotas;genero;cuota;capacidad;antiguedad_laboral;estrato;tipo_vivienda;nivel_educativo;creditos_activos;personas_hogar;eactual
207;756;0;-999;1;25;5.3;EMPLEADO ;B1;2800000;0.2;0;7045000;2025;0.0187;24;HOMBRE ;371946;0.13;3;1;arriendo;media;2;2;0
208;800;0;-999;1;37;7.5;EMPLEADO ;B1;4149395;0.38;0;16004000;2025;0.0187;24;HOMBRE ;845000;0.19;12;;propia;superior;1;3;0
209;-999;1;846;0;19;5.4;EMPLEADO ;C1;1700000;0;1;14380570;2025;0.0187;60;HOMBRE ;360000;0.23;1;1;propia_pagando;basica;2;4;0
210;809;0;-999;1;46;6.8;EMPLEADO ;B1;2800000;0.14;0;7023263;2025;0.0187;48;HOMBRE ;196200;0.09;17;4;propia;tecnica/tecnologica;1;4;0
211;746;0;-999;1;41;7.9;EMPLEADO ;B1;2500000;0.07;0;14274200;2025;0.0187;48;HOMBRE ;438100;0.18;15;4;propia;superior;1;2;0
212;762;0;-999;1;41;5.2;EMPLEADO ;B1;3500000;0.19;0;16667523;2025;0.0187;48;HOMBRE;477610;0.13;14;3;propia_pagando;tecnica/tecnologica;2;3;0
213;682;0;836;0;20;5.2;INDEPENDIETE;C1;4000000;0;0;10633762;2025;0.0187;36;HOMBRE;388913;0.11;2;;arriendo;media;2;2;0
214;703;0;-999;1;44;7.6;INDEPENDIETE;B1;7400000;0.31;0;9600458;2025;0.0187;24;HOMBRE;460786;0.04;20;4;propia;superior;1;3;0
215;718;0;805;0;19;5;EMPLEADO ;C1;1600000;0;1;9202750;2025;0.019;24;HOMBRE;450289;0.28;1;;propia_pagando;basica;2;4;0
216;854;0;-999;1;31;6.4;EMPLEADO ;B1;3025000;0;0;13445000;2025;0.019;48;HOMBRE;438872;0.17;8;3;propia_pagando;tecnica/tecnologica;2;4;0
217;776;0;-999;1;31;7.7;EMPLEADO ;B1;2550000;0.46;0;7045000;2025;0.019;72;MUJER;185400;0.07;8;3;propia_pagando;media;2;3;0
